"brand" "fuel" "aspiration" "bodystyle" "drive.wheels" "engine.location" "wheel.base" "length" "width" "height" "curb.weight" "engine.size" "compression.ratio" "HP" "peak.rot" "city.distance" "highway.distance" "n.cylinders"
"alfa-romeo" "gas" "std" "convertible" "rwd" "front" 225.0 428.8 162.8 124.0 1155.8 2.1303  9.00 111 5000  8.928 11.479  4
"alfa-romeo" "gas" "std" "convertible" "rwd" "front" 225.0 428.8 162.8 124.0 1155.8 2.1303  9.00 111 5000  8.928 11.479  4
"alfa-romeo" "gas" "std" "hatchback" "rwd" "front" 240.0 434.8 166.4 133.1 1280.5 2.4908  9.00 154 5000  8.078 11.053  6
"audi" "gas" "std" "sedan" "fwd" "front" 253.5 448.6 168.1 137.9 1060.1 1.7862 10.00 102 5500 10.203 12.754  4
"audi" "gas" "std" "sedan" "4wd" "front" 252.5 448.6 168.7 137.9 1281.0 2.2286  8.00 115 5500  7.652  9.353  5
"audi" "gas" "std" "sedan" "fwd" "front" 253.5 450.3 168.4 134.9 1137.2 2.2286  8.50 110 5500  8.078 10.628  5
"audi" "gas" "std" "sedan" "fwd" "front" 268.7 489.5 181.4 141.5 1290.0 2.2286  8.50 110 5500  8.078 10.628  5
"audi" "gas" "std" "wagon" "fwd" "front" 268.7 489.5 181.4 141.5 1339.9 2.2286  8.50 110 5500  8.078 10.628  5
"audi" "gas" "turbo" "sedan" "fwd" "front" 268.7 489.5 181.4 142.0 1399.8 2.1467  8.30 140 5500  7.227  8.503  5
"audi" "gas" "turbo" "hatchback" "4wd" "front" 252.7 452.6 172.5 132.1 1384.8 2.1467  7.00 160 5500  6.802  9.353  5
"bmw" "gas" "std" "sedan" "rwd" "front" 257.0 449.1 164.6 137.9 1086.4 1.7698  8.80 101 5800  9.778 12.329  4
"bmw" "gas" "std" "sedan" "rwd" "front" 257.0 449.1 164.6 137.9 1086.4 1.7698  8.80 101 5800  9.778 12.329  4
"bmw" "gas" "std" "sedan" "rwd" "front" 257.0 449.1 164.6 137.9 1229.3 2.6875  9.00 121 4250  8.928 11.904  6
"bmw" "gas" "std" "sedan" "rwd" "front" 257.0 449.1 164.6 137.9 1254.2 2.6875  9.00 121 4250  8.928 11.904  6
"bmw" "gas" "std" "sedan" "rwd" "front" 262.9 480.1 169.9 141.5 1385.7 2.6875  9.00 121 4250  8.503 10.628  6
"bmw" "gas" "std" "sedan" "rwd" "front" 262.9 480.1 169.9 141.5 1465.1 3.4249  8.00 182 5400  6.802  9.353  6
"bmw" "gas" "std" "sedan" "rwd" "front" 262.9 492.3 172.5 136.4 1533.2 3.4249  8.00 182 5400  6.802  9.353  6
"bmw" "gas" "std" "sedan" "rwd" "front" 279.4 500.4 180.1 143.0 1589.9 3.4249  8.00 182 5400  6.377  8.503  6
"chevrolet" "gas" "std" "hatchback" "fwd" "front" 224.5 358.4 153.2 135.1  675.0 0.9996  9.50  48 5100 19.981 22.532  3
"chevrolet" "gas" "std" "hatchback" "fwd" "front" 240.0 396.0 161.5 132.1  850.0 1.4748  9.60  70 5400 16.155 18.281  4
"chevrolet" "gas" "std" "sedan" "fwd" "front" 240.0 403.4 161.5 132.1  865.9 1.4748  9.60  70 5400 16.155 18.281  4
"dodge" "gas" "std" "hatchback" "fwd" "front" 238.0 399.5 162.1 129.0  851.0 1.4748  9.41  68 5500 15.730 17.430  4
"dodge" "gas" "std" "hatchback" "fwd" "front" 238.0 399.5 162.1 129.0  851.0 1.4748  9.40  68 5500 13.179 16.155  4
