date_sold;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement;yr_built;year_renovated;zip_code;lattitude;longitude;nn_sqft_living;nn_sqft_lot
2014-12-09T00:00:00Z;5,73078227566639;3;2,25;2570;7242;2,0;0;0;average;2170;400;1951;1991;98125;47,7210;-122,319;1690;7639
2015-02-25T00:00:00Z;5,25527250510331;2;1,00;770;10000;1,0;0;0;average;770;0;1933;1933;98028;47,7379;-122,233;2720;8062
2014-12-09T00:00:00Z;5,78103693862113;4;3,00;1960;5000;1,0;0;0;very_good;1050;910;1965;1965;98136;47,5208;-122,393;1360;5000
2015-02-18T00:00:00Z;5,70757017609794;3;2,00;1680;8080;1,0;0;0;average;1680;0;1987;1987;98074;47,6168;-122,045;1800;7503
2014-06-27T00:00:00Z;5,41077723337721;3;2,25;1715;6819;2,0;0;0;average;1715;0;1995;1995;98003;47,3097;-122,327;2238;6819
2015-01-15T00:00:00Z;5,46515969764618;3;1,50;1060;9711;1,0;0;0;average;1060;0;1963;1963;98198;47,4095;-122,315;1650;9711
2015-04-15T00:00:00Z;5,36078268987328;3;1,00;1780;7470;1,0;0;0;average;1050;730;1960;1960;98146;47,5123;-122,337;1780;8113
2015-03-12T00:00:00Z;5,50920252233110;3;2,50;1890;6560;2,0;0;0;average;1890;0;2003;2003;98038;47,3684;-122,031;2390;7570
2015-04-03T00:00:00Z;5,82118588260885;3;2,50;3560;9796;1,0;0;0;average;1860;1700;1965;1965;98007;47,6007;-122,145;2210;8925
2014-05-27T00:00:00Z;5,67024585307412;2;1,00;1160;6000;1,0;0;0;good;860;300;1942;1942;98115;47,6900;-122,292;1330;6000
2014-05-28T00:00:00Z;5,49136169383427;3;1,00;1430;19901;1,5;0;0;good;1430;0;1927;1927;98028;47,7558;-122,229;1780;12697
2015-01-24T00:00:00Z;5,81291335664286;4;3,00;2950;5000;2,0;0;3;average;1980;970;1979;1979;98126;47,5714;-122,375;2140;4000
2014-07-31T00:00:00Z;5,59659709562646;3;2,00;1890;14040;2,0;0;0;average;1890;0;1994;1994;98019;47,7277;-121,962;1890;14018
2014-05-29T00:00:00Z;5,68574173860226;4;1,00;1600;4300;1,5;0;0;good;1600;0;1916;1916;98103;47,6648;-122,343;1610;4300
2014-12-05T00:00:00Z;5,27646180417324;2;1,00;1200;9850;1,0;0;0;good;1200;0;1921;1921;98002;47,3089;-122,210;1060;5095
