"Median_house_value","Median_household_income","Mean_household_income","POPULATION","Total_units","Vacant_units","Owners","Median_rooms","Mean_household_size_owners","Mean_household_size_renters","LATITUDE","LONGITUDE"
909600,111667,195229,1974,929,37,66,6,2.53,1.81,37.848292,-122.249525
748700,66094,105877,4865,2655,134,45.1,4.6,2.45,1.66,37.840265,-122.254416
773600,87306,106248,3703,1911,68,45,5,2.04,2.19,37.848451,-122.25731
579200,62386,74604,3517,1703,71,43.6,4.5,2.66,1.72,37.848941,-122.264742
480800,55658,73933,1571,781,65,51,4.8,2.58,2.18,37.842226,-122.264926
460800,38646,56705,4206,1977,236,32.2,4.3,2.72,2.15,37.841719,-122.27215
473500,52837,66822,3594,1738,257,28.3,4.3,2.17,1.93,37.845393,-122.283126
439300,59091,59690,2302,1202,80,31.7,4.4,2.7,1.92,37.839285,-122.280316
369800,40402,50056,5678,2665,500,35.1,4.6,2.75,2.08,37.831263,-122.272163
467200,44140,56674,4156,2182,148,16.8,3.5,2.3,1.96,37.829959,-122.263403
591200,59554,81476,2416,1372,33,41.7,4.3,2.02,1.61,37.830988,-122.258039
352400,31080,45789,3528,1908,227,12.5,3,1.45,1.97,37.8165,-122.26787
322700,30777,38234,4314,1870,432,18.1,3.9,2.15,2.6,37.819904,-122.273309
353700,27183,47209,2630,1254,382,40.4,3.9,2.09,1.86,37.823505,-122.28048
321600,37679,47593,2163,947,173,18,4.1,3.47,2.17,37.81667,-122.279621
377800,62895,79060,2667,1025,167,44.4,4.1,2.51,3.1,37.817286,-122.293793
334100,30370,38382,1703,854,277,15.1,4.6,3.28,2.53,37.809593,-122.298293
374200,39286,52775,2385,1020,158,32,4.5,2.92,2.31,37.807292,-122.295186
330900,20874,29672,2351,1210,126,14.9,4.1,3.45,2.01,37.811419,-122.28219
285500,21571,36145,1784,846,79,23.5,4.3,2.21,2.72,37.804984,-122.285183
356000,22531,45619,1151,628,71,23.2,3,2.2,1.44,37.804782,-122.279657
347600,35080,48131,1569,796,131,37.3,4,2.25,2.24,37.810251,-122.277443
324100,21993,41640,3345,1716,211,9.6,2.5,1.71,1.35,37.808665,-122.272709
369900,17569,33976,2788,1597,375,21.6,3,1.54,1.91,37.800788,-122.270661
407100,42625,56426,2238,655,82,41.5,3,1.71,1.75,37.801099,-122.276502
404000,69605,74171,4054,2372,334,28.6,3.2,1.84,2.05,37.7956,-122.267839
452300,42358,61668,4146,3086,118,12.7,3,1.26,1.49,37.803458,-122.263683
351700,33635,51389,4374,2513,170,12.2,3.1,1.96,2.1,37.817316,-122.259876
272600,63199,71320,1991,1359,133,29.2,3.4,1.66,1.59,37.816035,-122.256743
364200,56303,73091,4482,2932,369,22.1,3.3,2.11,1.77,37.813421,-122.254114
343600,60278,68211,2587,2030,318,10.9,2.8,1.44,1.44,37.811375,-122.258315
377900,66761,76234,1724,1184,33,18.9,3.5,1.54,1.67,37.809381,-122.253441
720200,78036,107081,3461,2033,139,33,4.2,2.37,1.7,37.814476,-122.242249
